Organisation,Environment,Application,Status,vCore Usage,Last Updated,Mule Message in last 30 days
C4E,eu-uat,bel-eu-c4e-helloworld-exp-v1-uat,UNDEPLOYED,0.1,2023-01-26 10:34:56.115000,0
Autoglass UK,eu-test,bel-eu-uk-remedy-prc-v1-tst,STARTED,0.1,2023-01-24 19:57:27.431000,0
Carglass DE,eu-prod,bel-eu-gbl-bosch-core-sys-v1-prd,STARTED,0.1,2023-01-28 15:27:40.777000,3137507
Supply Chain,na-test,bel-na-gbl-supplier-data-prc-v1-tst,STARTED,0.1,2023-02-13 13:42:48.219000,30
Finance,eu-prod,bel-eu-gbl-ic-invoice-coprc-sys-v1-prd,STARTED,0.2,2023-01-29 01:33:48.008000,0
Obrien AU,apac-dev,net-tools-api-au-dev,STARTED,0.1,2023-01-25 17:09:03.172000,0
Carglass DE,eu-prod,bel-eu-de-mdm-sys-v1-prd,STARTED,0.1,2023-01-28 15:45:14.860000,120
C4E,eu-uat,bel-eu-c4e-helloworld-prc-v1-uat,UNDEPLOYED,0.1,2023-01-26 10:46:52.589000,0
Autoglass UK,eu-test,bel-eu-uk-remedy-sys-v1-tst,STARTED,0.1,2023-01-24 20:13:48.329000,66
Customer,na-prod,bel-na-gbl-aws-s3-sys-v1-prd,STARTED,0.1,2023-01-29 02:10:23.075000,4722549
Supply Chain,na-test,bel-na-gbl-subscriber-supplier-prc-v1-tst,STARTED,0.1,2023-02-16 18:28:35.359000,1096
Finance,eu-prod,bel-eu-gbl-ofcf-reference-data-sys-v1-prd,STARTED,0.2,2023-01-29 01:39:55.613000,206
Carglass DE,eu-prod,bel-eu-de-mdm-prc-v1-prd,STARTED,0.1,2023-01-28 15:48:32.019000,146
Autoglass UK,eu-test,bel-eu-uk-avaya-exp-v1-tst,STARTED,0.1,2023-01-24 20:17:17.868000,66
C4E,eu-uat,bel-eu-gbl-event-publisher-exp-v1-uat,STARTED,0.1,2023-01-26 16:42:14.488000,1014
Obrien AU,apac-dev,bel-apac-au-click-schedule-exp-v1-dev,STARTED,0.1,2023-01-25 17:32:17.904000,180
Customer,na-prod,bel-na-gbl-entegral-sys-v1-prd,STARTED,0.1,2023-02-07 11:00:47.012000,24606
Supply Chain,na-test,activemqdemo,STARTED,0.1,2023-01-23 14:42:37.112000,0
Finance,eu-prod,bel-eu-gbl-fx-rate-refnv-sys-v1-prd,STARTED,0.2,2023-01-29 01:56:05.062000,414
Carglass DE,eu-prod,bel-eu-de-calibration-job-sys-v1-prd,STARTED,0.1,2023-01-28 16:05:59.803000,38759
Autoglass UK,eu-test,bel-eu-gbl-avaya-sys-v1-tst,STARTED,0.1,2023-01-24 20:39:02.264000,0
Obrien AU,apac-dev,bel-apac-au-fsl-prc-v1-dev,STARTED,0.1,2023-02-10 09:12:42.499000,136
HR,eu-prod,bel-eu-gbl-hr-employee-exp-v1-prd,STARTED,0.4,2023-02-09 17:20:38.258000,0
Supply Chain,na-test,bel-na-gbl-purchase-orders-prc-v1-tst,STARTED,0.1,2023-01-31 06:16:47.038000,0
Customer,na-prod,bel-na-gbl-entegral-prc-v1-prd,STARTED,0.1,2023-02-08 06:49:53.469000,30487
Finance,eu-prod,bel-eu-gbl-concr-sys-v1-prd,STARTED,0.1,2023-01-31 07:12:30.118000,78
Carglass DE,eu-prod,bel-eu-gbl-calibration-prc-v1-prd,STARTED,0.1,2023-01-26 20:10:30.266000,188323
Obrien AU,apac-dev,bel-apac-au-scheduling-resource-prc-v1-dev,STARTED,0.1,2023-02-14 17:46:17.077000,127
C4E,apac-test,bel-apac-c4e-helloworld-exp-v1-tst,STARTED,0.1,2023-01-25 20:27:33.711000,0
HR,eu-prod,bel-eu-gbl-gmft-sys-v1-prd,STARTED,0.2,2023-01-28 14:41:02.004000,0
Customer,na-prod,bel-na-gbl-entegral-exp-v1-prd,STARTED,0.1,2023-02-08 03:14:45.254000,24534
Supply Chain,na-test,bel-na-gbl-org-inventory-ofcf-sys-v1-tst,STARTED,0.1,2023-01-23 15:06:48.371000,0
Finance,eu-prod,bel-eu-gbl-bulk-import-ofcf-sys-v1-prd,STARTED,0.2,2023-01-29 02:09:25.462000,186
